id,start,duration,attendance_status,status,topic,service_id,contractor_id,student_id,paying_client_id,charge_rate,tutor_rate,startDate,commRate,commissionOld,newCommRate,commissionNew,,month,Oct-24
7629875,2022-09-03T10:00:00Z,1,,cancelled,7+ Preparation,561238,1749613,1771995,1765910,68,50,03/09/2022 10:00,18,18,18,18,,,
8047708,2022-09-03T11:00:00Z,2,,complete,Comparison of approaches,563111,1776229,1756776,1751232,70,50,03/09/2022 11:00,20,40,20,40,,,
7766538,2022-09-05T16:00:00Z,1,,complete,11+ Preparation,571165,1749613,1795153,1772048,70,50,05/09/2022 16:00,20,20,17,17,,,
7629824,2022-09-06T16:00:00Z,1,,complete,7+ Preparation,561238,1749613,1771995,1765910,68,50,06/09/2022 16:00,18,18,18,18,,,
7516117,2022-09-06T17:00:00Z,1,,cancelled,Maths,552861,1751334,1749541,1749500,68,50,06/09/2022 17:00,18,18,24,24,,,
7629657,2022-09-06T17:15:00Z,1.5,,complete,"Maths, English, Science & History",552865,1749613,1749548,1749547,70,50,06/09/2022 17:15,20,30,24,36,,,
7630094,2022-09-07T16:00:00Z,1,,complete,11+ ISEB Preparation,561260,1749613,1772022,1751233,70,50,07/09/2022 16:00,20,20,20,20,,,
7663315,2022-09-07T16:30:00Z,1,,complete,11+ Preparation,552885,1749410,1749576,1749574,70,53,07/09/2022 16:30,17,17,12,12,,,
7663428,2022-09-07T18:00:00Z,1,,complete,Maths & English,552816,1749410,1749421,1749420,70,48,07/09/2022 18:00,22,22,22,22,,,
7663662,2022-09-08T16:00:00Z,1,,complete,11+ Preparation,552872,1749410,1749557,1749556,70,53,08/09/2022 16:00,17,17,20,20,,,
7829498,2022-09-08T16:00:00Z,0.75,,complete,Maths & English,575259,1776236,1803014,1759884,68,48,08/09/2022 16:00,20,15,12,9,,,
7829492,2022-09-08T16:45:00Z,0.75,,complete,11+ Preparation,575257,1776236,1803013,1759884,68,48,08/09/2022 16:45,20,15,20,15,,,
8016642,2022-09-08T17:00:00Z,1,,complete,Introduction to ways of workin,578765,1749611,1810390,1751157,34,28,08/09/2022 17:00,6,6,6,6,,,
7516269,2022-09-08T17:00:00Z,2,,complete,Maths,552825,1751334,1749458,1748975,58,48,08/09/2022 17:00,10,20,10,20,,,
7663713,2022-09-08T17:30:00Z,1,,complete,English & 11+ Exam Technique,552877,1749410,1749559,1749558,70,50,08/09/2022 17:30,20,20,20,20,,,
7827398,2022-09-10T09:00:00Z,1,,complete,7+ Preparation,554684,1749410,1756905,1751160,70,55,10/09/2022 09:00,15,15,22,22,,,
7629876,2022-09-10T10:00:00Z,1,,complete,7+ Preparation,561238,1749613,1771995,1765910,68,50,10/09/2022 10:00,18,18,18,18,,,
7937959,2022-09-11T15:30:00Z,1,,complete,Year 5 | Maths | Jana,575149,1763504,1810509,1801047,65,43,11/09/2022 15:30,22,22,22,22,,,
7937732,2022-09-11T16:30:00Z,1,,complete,Year 7 | Maths | Lina,575150,1763504,1810510,1801047,65,43,11/09/2022 16:30,22,22,22,22,,,
7766539,2022-09-12T16:00:00Z,1,,complete,11+ Preparation,571165,1749613,1795153,1772048,70,50,12/09/2022 16:00,20,20,17,17,,,
7629825,2022-09-13T16:00:00Z,1,,complete,7+ Preparation,561238,1749613,1771995,1765910,68,50,13/09/2022 16:00,18,18,18,18,,,
7516118,2022-09-13T17:00:00Z,1,,cancelled,Maths,552861,1751334,1749541,1749500,68,50,13/09/2022 17:00,18,18,24,24,,,
7629658,2022-09-13T17:15:00Z,1.5,,complete,"Maths, English, Science & History",552865,1749613,1749548,1749547,70,50,13/09/2022 17:15,20,30,24,36,,,
7630095,2022-09-14T16:00:00Z,1,,complete,11+ ISEB Preparation,561260,1749613,1772022,1751233,70,50,14/09/2022 16:00,20,20,20,20,,,
7663316,2022-09-14T16:30:00Z,1,,complete,11+ Preparation,552885,1749410,1749576,1749574,70,53,14/09/2022 16:30,17,17,12,12,,,
7663429,2022-09-14T18:00:00Z,1,,complete,Maths & English,552816,1749410,1749421,1749420,70,48,14/09/2022 18:00,22,22,22,22,,,
7663663,2022-09-15T16:00:00Z,1,,complete,11+ Preparation,552872,1749410,1749557,1749556,70,53,15/09/2022 16:00,17,17,20,20,,,
7968763,2022-09-15T16:00:00Z,0.75,,complete,Maths & English,575259,1776236,1803014,1759884,68,48,15/09/2022 16:00,20,15,12,9,,,
7968662,2022-09-15T16:45:00Z,0.75,,complete,11+ Preparation,575257,1776236,1803013,1759884,68,48,15/09/2022 16:45,20,15,20,15,,,
7516268,2022-09-15T17:00:00Z,2,,complete,Maths,552825,1751334,1749458,1748975,58,48,15/09/2022 17:00,10,20,10,20,,,
